Key;VL;L;C;R;VR;DK
VL;0.0;0.25;0.5;0.75;1.0;0.5
L;0.25;0.0;0.25;0.5;0.75;0.5
C;0.5;0.25;0.0;0.25;0.5;0.5
R;0.75;0.5;0.25;0.0;0.25;0.5
VR;1.0;0.75;0.5;0.25;0.0;0.5
DK;0.5;0.5;0.5;0.5;0.5;0.0
